brand,details,price,year,mileage,fuel,gearbox,power
honda,2.4 122KW 4x4 LPG,200000,2003,201000,LPG + benzín,Manuální,122.0
peugeot,1.2 PureTech SW  AUTOMAT,209000,2018,179000,Benzín,Automatická,-1.0
opel,"1,8 16V servis v ceně",169999,2011,164415,Benzín,Manuální,-1.0
peugeot,"1,4 i",43000,2008,125447,Benzín,Manuální,-1.0
nissan,1.5dCI,99999,2011,153800,Nafta,Manuální,-1.0
mazda,"150 PS AT,PLUS/Style,Z.PNEU!",569000,2023,45000,Benzín,Automatická,-1.0
seat,"1,6 TDI Navigace, ServiskaTop!",189000,2015,199773,Nafta,Manuální,-1.0
seat,"1,6 TDI ST Nové rozvody !",155000,2015,205720,Nafta,Manuální,-1.0
mercedes-benz,AMG Mercedes- 35 4MATIC,999000,2022,4851,Benzín,Automatická,-1.0
opel,"J 1,6, tažné zařízení",189999,2013,142750,Benzín,Manuální,-1.0
toyota,"3,0 D J15TM 4X4 SERVIS TOYOTA",470000,2012,248000,Nafta,Manuální,-1.0
subaru,Executive,949000,2023,30000,Elektro,Automatická,-1.0
kia,"64kw, premium výbava, limit. e",429550,2019,120000,Elektro,Automatická,64.0
fiat,1.0 GSE 51 kW,399990,2024,2,Benzín,Manuální,51.0
fiat,Cold 1.0 FIREFLY 70 k 51 kW,358000,2024,10,Benzín,Manuální,51.0
fiat,1.9 JTD 8V Dynamic,59000,2007,148374,Nafta,Manuální,-1.0
mazda,"2,0DI KLIMA TEMPOMAT EL.OKNA",99000,2008,161361,Nafta,Manuální,-1.0
honda,"3.5 DIGI. KLIMA, LPG, 8 MÍST",99900,2006,377547,Benzín,Automatická,-1.0
fiat,1.3 MultiJet 95k 70 kW,519000,2024,10,Nafta,Manuální,70.0
fiat,1.2i 51kw,79000,2011,118123,Benzín,Manuální,51.0
renault,"1.9DCi 96kw,serviska",39900,2007,203300,Nafta,Manuální,96.0
mercedes-benz,"320 CDi,165kW,4 MATIC",159000,2006,295000,Nafta,Automatická,165.0
honda,1.4i 73kW*Automat*Panorama*,179900,2012,152000,Benzín,Automatická,73.0
volvo,RECHARGE FWD PLUS,799000,2023,44188,Elektro,Automatická,-1.0
mercedes-benz,250 CDI BlueTEC 4-matic,396880,2015,189000,Nafta,Automatická,-1.0
mercedes-benz,AMG GTR MAGNO GREEN IHNED 585P,3299000,2019,38300,Benzín,Automatická,-1.0
fiat,"1.4i, KLIMA, PANORAMA",99999,2010,92940,Benzín,Manuální,-1.0
fiat,BEV Passion 3+1 42 kWh,599900,2022,30000,Elektro,Automatická,42.0
subaru,"2,5 Sport Lineatronic",449000,2018,245200,Benzín,Automatická,-1.0
citroen,Elektromotor 100 kW/136k Aut.,899900,2023,8500,Elektro,Automatická,100.0
citroen,"1,6HDI KLIMA SPACELIGHT ELOKNA",139000,2011,158190,Nafta,Manuální,-1.0
mazda,"2,0i X186 PS Homura, AT, z.p!",649000,2023,21800,Benzín,Automatická,-1.0
mazda,"2,5i 327 PS PHEV,AT,Homura/Saf",849000,2022,56600,Hybridní,Automatická,-1.0
opel,"2.0 CDTi,Sport,AT,bixen",150000,2011,156348,Nafta,Automatická,-1.0
mercedes-benz,250,879000,2021,50880,Elektro,Automatická,-1.0
mercedes-benz,63 AMG - MAX - BÉŽOVÁ KŮŽE,2499000,2021,75000,Benzín,Automatická,-1.0
peugeot,GT Plug-in HYBRID 225 e-EAT8,849000,2022,17100,Hybridní,Automatická,-1.0
opel,"1.5CDTi,Dynamic,AT,LED",277000,2020,97679,Nafta,Automatická,-1.0
fiat,"1.4i KLIMATIZACE, LPG",109900,2011,189094,LPG + benzín,Manuální,-1.0
renault,RS LINE 1.6 E-tech 67 kW,399990,2021,4970,Hybridní,Automatická,67.0
seat,FR e-HYBRID 245k DSG 180 kW,1129000,2026,5,Hybridní,Automatická,180.0
honda,"CROSSTAR 1,5 ADVANCE - AKCE",616700,2026,8,Hybridní,Automatická,-1.0
honda,Crosstar 1.5e:HEV Advance,619000,2026,10,Hybridní,Automatická,-1.0
peugeot,"120kw, 9 míst, DPH,  SPLÁTKY",429000,2016,138000,Nafta,Manuální,120.0
