brand,details,price,year,mileage,fuel,gearbox,power
opel,"Turbo, integrovaný nosič kol",169999,2011,145624,Benzín,Manuální,96.0
audi,S line 35 TFSI 110 kW,1353990,2024,1000,Hybridní,Automatická,110.0
fiat,"Kombi Life 1,0 FireFlay 100 k",457405,2022,5000,Benzín,Manuální,70.0
volkswagen,"Variant Style 1,5 eTSI 7DSG mH",882090,2022,1700,Hybridní,Automatická,110.0
ford,"1,0i 74kW EcoBoost NAVI",179990,2015,84381,Benzín,Manuální,74.0
fiat,"2,3 96KW KLIMA",309999,2014,242037,Nafta,Manuální,96.0
fiat,2.0MJT AUTOMAT 4x4 7MÍST KŮŽE,329900,2016,106510,Nafta,Automatická,70.0
bmw,"318D xDrive, Sport, LED,záruka",349000,2015,85621,Nafta,Manuální,161.0
peugeot,ACTIVE 2.0 BLUEHDI 150 MAN6,325000,2018,160000,Nafta,Manuální,90.0
fiat,"1,2 16V CABRIO",129900,2009,191996,Nafta,Manuální,70.0
volkswagen,"R-Line 2,0 TDI 110 kW 4M 7DSG",1264450,2022,1400,Nafta,Automatická,110.0
volkswagen,"GTI Clubsport 2,0 TSI 7DSG",1264450,2022,1050,Benzín,Automatická,110.0
mercedes-benz,220 D 4MATIC,990000,2020,91059,Nafta,Automatická,146.0
opel,Crosscamp Life FLEX 2.0 D AT8,1499900,2023,0,Nafta,Automatická,96.0
opel,Crosscamp Life FLEX 2.0 D AT8,1499900,2023,0,Nafta,Automatická,96.0
ford,"1,5 EcoBoost 110 kW TREND PLUS",189990,2015,146260,Benzín,Manuální,110.0
fiat,"2,0 4x4 7 míst AUTOMAT",229900,2015,191152,Nafta,Automatická,70.0
mercedes-benz,"S 280, plně funkční, splátky",199900,1979,191000,Benzín,Manuální,146.0
mercedes-benz,220 D   4 MATIC SPORT,389900,2015,259825,Nafta,Automatická,146.0
mercedes-benz,"G 55 AMG, 5AT, Brabus",849990,2001,129000,Benzín,Automatická,146.0
ford,"1,4, po velkém servise",59999,2005,126700,Benzín,Manuální,110.0
mazda,"2,5i PHEV 8 AT,4x4,Ex-line,TZ!",899000,2022,41800,Hybridní,Automatická,114.0
nissan,1.3 140k MT Acenta+COLD,599900,2025,1,Benzín,Manuální,96.0
nissan,1.3 158k Xtr N-Connecta,715500,2025,1,Benzín,Automatická,96.0
nissan,1.3 158k Xtr N-Connecta,715500,2025,1,Benzín,Automatická,96.0
renault,"1,6 i 82KW,ČR,1 MAJ.,LIMITED.",109000,2015,150216,Benzín,Manuální,82.0
honda,2.0 e:HEV Elegance MR2026,759900,2026,10,Hybridní,Automatická,108.0
citroen,1.4i,99000,2011,280000,Benzín,Manuální,84.5
nissan,1.3 158k Xtr Tekna +2tone,763700,2025,10,Benzín,Automatická,96.0
peugeot,1.6 HDI - 7 místné,150000,2011,205019,Nafta,Manuální,90.0
nissan,1.3 DIG-T 130k M/T Tekna 5M,648800,2025,10,Benzín,Manuální,96.0
bmw,330i - XENONY,279000,2009,190803,Benzín,Manuální,161.0
fiat,"1,9 JTD",45000,2008,181200,Nafta,Manuální,70.0
nissan,NA SPLÁTKY VŠEM BEZ REGISTRU,229000,2000,277000,Nafta,Manuální,96.0
mercedes-benz,"350CDI, VELMI PĚKNÝ,  SPLÁTKY",319900,2012,259000,Nafta,Automatická,146.0
seat,"1,6 MPi  Serviska,Klima,8xPneu",98900,2007,180299,Benzín,Manuální,96.0
fiat,3.0 JTD 130 kw 9 sedadel,269000,2013,345200,Nafta,Manuální,130.0
honda,TARGA 1.6 16V VTi,250000,1992,99000,Benzín,Manuální,108.0
subaru,Sákne olej z motoru unik,39999,2013,340000,Nafta,Manuální,110.0
bmw,xDrive 30d210Kw M-SPORT VZDUCH,999800,2021,123000,Nafta,Automatická,210.0
bmw,"116i 90kW Klima,Výhřevy,Servis",79900,2008,199999,Benzín,Manuální,90.0
subaru,"2,0 TD  AWD  108 KW",127777,2009,170200,Nafta,Manuální,108.0
opel,"1,4 i 74KW,ČR,1 MAJ.,SERV.KN.",119000,2015,193574,Benzín,Manuální,74.0
mercedes-benz,Unknown,1649000,2022,61032,Elektro,Automatická,146.0
skoda,iV80 LED NAVI ZAVES KUZE,509900,2022,154000,Elektro,Automatická,110.0
seat,"2,0 TDI Style SERVIS -DPH",289000,2018,262100,Nafta,Manuální,96.0
nissan,1.0 92k Acenta + Cold,349800,2022,17000,Benzín,Manuální,96.0
hyundai,Premium Luxury 2.2 147 kW,649990,2019,106842,Nafta,Automatická,147.0
nissan,1.6  86 kW,215000,2013,143500,Benzín,Unknown,86.0
fiat,"1,0 FireFlay 100 k",385000,2022,3000,Benzín,Manuální,70.0
