iter	Passed	Remaining
655	3232	4159
656	3237	4154
657	3241	4147
658	3245	4142
659	3249	4135
660	3254	4130
661	3259	4126
662	3264	4121
663	3269	4116
664	3273	4110
665	3278	4105
666	3283	4101
667	3288	4095
668	3292	4089
669	3297	4085
670	3302	4080
671	3308	4077
672	3313	4072
673	3319	4068
674	3325	4064
675	3331	4060
676	3335	4054
677	3340	4050
678	3345	4044
679	3349	4038
680	3355	4035
681	3362	4032
682	3366	4027
683	3370	4020
684	3375	4016
685	3381	4011
686	3385	4006
687	3390	4001
688	3394	3995
689	3398	3989
690	3403	3984
691	3408	3979
692	3411	3972
693	3416	3967
694	3421	3962
695	3425	3956
696	3429	3951
697	3434	3946
698	3439	3941
699	3445	3937
700	3449	3932
701	3454	3927
702	3461	3924
703	3466	3919
704	3471	3914
705	3477	3910
706	3481	3904
707	3485	3899
708	3490	3893
709	3496	3889
710	3501	3885
711	3506	3880
712	3509	3874
713	3514	3868
714	3519	3863
715	3524	3859
716	3529	3854
717	3535	3850
718	3539	3845
719	3543	3839
720	3548	3833
721	3552	3828
722	3557	3822
723	3563	3819
724	3568	3814
725	3573	3809
726	3578	3805
727	3582	3799
728	3588	3794
729	3593	3790
730	3598	3785
731	3602	3780
732	3607	3774
733	3612	3770
734	3617	3765
735	3623	3761
736	3628	3756
737	3631	3749
738	3635	3743
739	3639	3738
740	3644	3732
741	3648	3727
742	3653	3722
743	3656	3715
744	3663	3712
745	3669	3708
746	3674	3703
747	3679	3698
748	3684	3693
749	3688	3688
750	3693	3684
751	3698	3678
752	3702	3673
753	3706	3666
754	3711	3661
755	3715	3656
756	3719	3651
757	3724	3646
758	3728	3640
759	3734	3636
760	3738	3630
761	3743	3625
762	3747	3619
763	3751	3613
764	3756	3609
765	3761	3604
766	3765	3599
767	3770	3593
768	3775	3589
769	3781	3584
770	3786	3580
771	3791	3574
772	3796	3570
773	3801	3565
774	3806	3560
775	3811	3555
776	3816	3550
777	3820	3545
778	3825	3540
779	3830	3535
780	3835	3530
781	3839	3524
782	3842	3518
783	3847	3514
784	3852	3508
785	3856	3503
786	3862	3499
787	3867	3494
788	3871	3488
789	3876	3484
790	3881	3479
791	3885	3473
792	3890	3468
793	3895	3463
794	3900	3458
795	3903	3452
796	3908	3447
797	3912	3442
798	3917	3437
799	3921	3431
800	3926	3426
801	3932	3422
802	3937	3417
803	3943	3413
804	3947	3408
805	3952	3403
806	3957	3398
807	3962	3393
808	3967	3388
809	3973	3384
810	3978	3380
811	3983	3375
812	3987	3369
813	3991	3364
814	3995	3357
815	4000	3353
816	4005	3348
817	4010	3343
818	4015	3338
819	4019	3333
820	4023	3327
821	4029	3323
822	4034	3318
823	4040	3314
824	4044	3309
825	4049	3304
826	4053	3298
827	4057	3293
828	4061	3287
829	4065	3281
830	4070	3277
831	4076	3272
832	4081	3268
833	4086	3263
834	4091	3258
835	4097	3254
836	4102	3249
837	4106	3244
838	4111	3239
839	4115	3233
840	4119	3227
841	4124	3223
842	4129	3218
843	4133	3212
844	4138	3207
845	4144	3203
846	4149	3198
847	4153	3193
848	4159	3189
849	4164	3184
850	4169	3179
851	4174	3174
852	4180	3170
853	4186	3166
854	4191	3161
855	4197	3158
856	4203	3154
857	4208	3148
858	4212	3143
859	4217	3138
860	4221	3133
861	4226	3127
862	4230	3122
863	4234	3117
864	4240	3112
865	4244	3107
866	4250	3103
867	4253	3097
868	4258	3092
869	4262	3086
870	4266	3080
871	4270	3075
872	4273	3069
873	4278	3064
874	4283	3059
875	4287	3054
876	4293	3049
877	4297	3044
878	4302	3039
879	4309	3035
880	4315	3032
881	4321	3027
882	4326	3022
883	4331	3018
884	4335	3012
885	4340	3007
886	4344	3002
887	4349	2997
888	4354	2992
889	4359	2987
890	4363	2982
891	4367	2977
892	4373	2972
893	4378	2967
894	4382	2962
895	4387	2957
896	4393	2953
897	4398	2948
898	4404	2944
899	4409	2939
900	4414	2934
901	4419	2929
902	4423	2924
903	4427	2919
904	4432	2913
905	4436	2908
906	4441	2903
907	4446	2899
908	4451	2893
909	4456	2889
910	4461	2884
911	4465	2879
912	4470	2874
913	4476	2869
914	4480	2864
915	4484	2859
916	4490	2855
917	4494	2849
918	4499	2844
919	4504	2839
920	4510	2835
921	4515	2830
922	4519	2825
